critic,title,rating
Jack Matthews,海贼王剧场版10,3.0
Jack Matthews,人生密密缝,4.0
Jack Matthews,必是天堂,3.5
Jack Matthews,黑侠,5.0
Jack Matthews,八美图,3.0
Mick LaSalle,海贼王剧场版10,3.0
Mick LaSalle,人生密密缝,4.0
Mick LaSalle,美少女特攻队 Sucker Punch,2.0
Mick LaSalle,黑侠,3.0
Mick LaSalle,必是天堂,2.0
Mick LaSalle,八美图,3.0
4Claudia Puig,美少女特攻队 Sucker Punch,3.0
Claudia Puig,必是天堂,2.5
Claudia Puig,黑侠,4.0
Claudia Puig,八美图,4.5
Lisa Rose,海贼王剧场版10,2.5
Lisa Rose,人生密密缝,3.5
Lisa Rose,美少女特攻队 Sucker Punch,3.0
Lisa Rose,黑侠,3.5
Lisa Rose,八美图,3.0
Lisa Rose,必是天堂,2.5
Abel,人生密密缝,4.5
Abel,黑侠,4.0
Gene Seymour,海贼王剧场版10,3.0
Gene Seymour,人生密密缝,3.5
Gene Seymour,美少女特攻队 Sucker Punch,1.5
Gene Seymour,黑侠,5.0
Gene Seymour,必是天堂,3.5
Gene Seymour,八美图,3.0
